Co_ID|PO ID|Exchange|Name| Root_Ticker | qmv | OS_Shares | tech_sub_sec | cps | re |Sector| Sub_Sector |type_of_listing|date_of_listing|QT_Date|RTO_Date|Date_of_amalgamation|Interlisted|formar_cpc_or_cpc|Ven_50_2018|Index|hq_location|hq_region|usa_city|USA_State|Asia_Region|clean_tech_primary|clean_tech_sub_sector|Section|trust| volume_ytd | value_ ytd | num_traded_share_ytd | num_of_month_trading_data |AFRICA|AUS_NZ_PNG|CANADA|CHINA_ ASIA|LATIN_AMERICA|OTHER|UK_EUROPE|USA|Oil_Gas|Gold|Silver|Copper|Nickel|Diamond|Molybdenum|Platinum_PGM|Iron|Lead|Zinc|Rare Earths|Potash|Lithium|Uranium|Coal|Tungsten|base_ precious_metals|mineral_properties|other_properties|
V-01715|27307|TSXV |Roscan Minerals Corporation|ROS| 3,344,325 | 47,776,075 ||||Mining||||||||No|||ON|Canada||||||Tier2|| 1,482,360 | 109,980 | 137 |6|Ghana|||||||||1|||||||||||||||||||
V-01278|1092854|TSXV |Rosita Mining Corporation|RST| 2,243,580 | 64,102,282 ||||Mining||Other|20050404|||||No|||ON|Canada||||||Tier2|| 22,775,437 | 1,586,786 | 880 |6|Ghana,Tanzania|||||||||1|||||||||||||||||||
V-03879|1149920|TSXV |Rotation Minerals Ltd.|ROT| 7,761,949 | 55,172,183 ||||Mining||IPO|20111007|||||No|||BC|Canada||||||Tier2|| 2,637,194 | 569,024 | 254 |6|||Canada|||||USA|||||||||||||||||||1||
V-04053|1154435|TSXV |Roughrider Exploration Limited|REL| 1,412,483 | 47,082,757 ||||Mining||QT|20120924|20140718||||Yes|||BC|Canada||||||Tier2|| 4,413,500 | 155,588 | 153 |6|||SK||||||||||||||||||||1||||||
V-03991|1152135|TSXV |Rover Metals Corp.|ROVR| 3,298,701 | 49,926,785 ||||Mining||QT from NEX|20120430|20180629 NEX||||Yes|||BC|Canada||||||Tier2|| 279,000 | 27,290 | 12 |1|||NT|||||||1|||||||||||||||||||
V-03748|1143440|TSXV |Royal Road Minerals Limited|RYR| 14,446,543 | 173,631,696 ||||Mining||QT from NEX|20110328|20150420 NEX||||Yes|||Jersey|UK/Europe||||||Tier2|| 14,345,295 | 1,846,834 | 1,105 |6|||||Colombia|||||1|||||||||||||||||||
V-04077|1155686|TSXV |Royal Sapphire Corp.|RSL| 25,252,472 | 84,740,708 ||||Mining||IPO|20121109|||||No|||BC|Canada||||||Tier2|| 733,055 | 91,214 | 85 |3|||||||||||||||||||||||||||||
V-03846|1133150|TSXV |RT Minerals Corp.|RTM| 459,606 | 4,837,963 ||||Mining||Other|20110805|||||No|||BC|Canada||||||Tier2|| 28,975,676 | 922,094 | 1,091 |6|||ON|||||||1||||1|||||||||||||||
V-02584|1112943|TSXV |Rugby Mining Limited|RUG| 21,494,633 | 76,766,547 ||||Mining||QT|20070807|20090306||||Yes||1|Australia|Australia/NZ/PNG||||||Tier2|| 2,429,757 | 873,872 | 267 |6||Australia||Philippines|Colombia|||||1||1|||||||||||||||||
V-01723|34174|TSXV |Running Fox Resource Corp.|RUN| 1,095,411 | 54,770,548 ||||Mining||||||||No|||AB|Canada||||||Tier2|| 3,779,736 | 101,358 | 115 |6|||||||||||||||||||||||||||||
V-01724|15394|TSXV |Rupert Resources Ltd.|RUP| 98,153,522 | 107,041,111 ||||Mining||||||||No||1|BC|Canada||||||Tier2|| 2,922,748 | 3,188,730 | 956 |6|||BC,ON|||||||1|||||||||||||||||||
V-01378|1052749|TSXV |Rusoro Mining Ltd.|RML| 40,857,797 | 544,770,623 ||||Mining||RTO|||20061109|||Yes||1|BC|Canada||||||Tier2|| 17,551,549 | 1,484,550 | 938 |6|||||Venezuela|||||1|||||||||||||||||||
V-01735|36356|TSXV |Sable Resources Ltd.|SAE| 33,803,606 | 120,727,164 ||||Mining||||||||No||1|BC|Canada||||||Tier2|| 28,457,503 | 6,299,402 | 1,797 |6|||BC|||||||1|1|1|||||||||||||||||
V-02239|1100356|TSXV |Sage Gold Inc.|SGX| 1,652,759 | 110,183,926 ||||Mining||Other|20051214|||||No|||ON|Canada||||||Tier2|| 44,780,535 | 2,686,401 | 2,461 |6|||ON|||||||1|||||||||||||||||||
V-04394|1180375|TSXV |Sailfish Royalty Corp.|FISH| 47,966,949 | 38,373,559 ||||Mining||Other|20171222|||||No|||British Virgin Islands|Other||||||Tier2|| 841,595 | 1,717,529 | 907 |6||||||||||||||||||||||||||||Royalty Streaming|
V-01985|1044272|TSXV |Saint Jean Carbon Inc.|SJL| 2,475,201 | 61,880,033 ||||Mining|||||||OTCQB|No|||AB|Canada||||||Tier2|| 44,531,606 | 1,756,678 | 1,983 |6|||ON, Quebec|||||||||||||||||||1||||||Graphite|
V-01097|27240|TSXV |Salazar Resources Limited|SRL| 16,501,774 | 122,235,364 ||||Mining||RTO from NEX|||20070309 NEX|||No|||BC|Canada||||||Tier1|| 11,025,697 | 1,378,295 | 890 |6|||||Colombia,Ecuador|||||1|1|1|||||||||||||||||
